base_id,supplier_id,lead_time_L_i_j,transport_cost_cij
0,0,0.0329715399869775,32.2478657169212
0,1,0.114825967816045,39.2744126506272
0,2,0.0104296364279648,16.7827507705531
0,3,0.199138299705247,17.5886733738345
0,4,0.157682605607792,26.0
0,5,0.171951541493657,54.0732720041222
0,6,0.153433695487547,32.8004111481873
0,7,0.15507641880004,23.1767211274738
0,8,0.0643467597490132,30.0
0,9,0.197367526098556,20.3573066844995
0,10,0.0184040980327075,10.0
0,11,0.146683892969407,21.3730251645317
0,12,0.0774213776214151,11.0902808828236
0,13,0.0773307057151823,10.3835329278295
0,14,0.130794216161451,10.0
0,15,0.104146757379308,11.0929648793115
1,0,0.0421882778561522,33.2478657169212
1,1,0.125886837159232,40.2744126506272
1,2,0.0671667768125006,17.7827507705531
1,3,0.0384126639503892,18.5886733738345
1,4,0.13323791002449,27.0
1,5,0.02,55.0732720041222
1,6,0.132440482882257,33.8004111481873
1,7,0.0544642409016381,24.1767211274738
1,8,0.126977455168014,31.0
1,9,0.0642977229808857,21.3573066844995
1,10,0.0627413281030695,11.0
1,11,0.117557754128054,22.3730251645317
1,12,0.190743853801252,12.0902808828236
1,13,0.0491744730397177,11.3835329278295
1,14,0.0575114938139855,11.0
1,15,0.0337143173106782,12.0929648793115
