port_id,supplier_id,cjg
0,0,32.2478657169212
0,1,39.2744126506272
0,2,16.7827507705531
0,3,17.5886733738345
0,4,26.0
0,5,54.0732720041222
0,6,32.8004111481873
0,7,23.1767211274738
0,8,30.0
0,9,20.3573066844995
0,10,10.0
0,11,21.3730251645317
0,12,11.0902808828236
0,13,10.3835329278295
0,14,10.0
0,15,11.0929648793115
1,0,33.2478657169212
1,1,40.2744126506272
1,2,17.7827507705531
1,3,18.5886733738345
1,4,27.0
1,5,55.0732720041222
1,6,33.8004111481873
1,7,24.1767211274738
1,8,31.0
1,9,21.3573066844995
1,10,11.0
1,11,22.3730251645317
1,12,12.0902808828236
1,13,11.3835329278295
1,14,11.0
1,15,12.0929648793115
2,0,34.2478657169212
2,1,41.2744126506272
2,2,18.7827507705531
2,3,19.5886733738345
2,4,28.0
2,5,56.0732720041222
2,6,34.8004111481873
2,7,25.1767211274738
2,8,32.0
2,9,22.3573066844995
2,10,12.0
2,11,23.3730251645317
2,12,13.0902808828236
2,13,12.3835329278295
2,14,12.0
2,15,13.0929648793115
3,0,35.2478657169212
3,1,42.2744126506272
3,2,19.7827507705531
3,3,20.5886733738345
3,4,29.0
3,5,57.0732720041222
3,6,35.8004111481873
3,7,26.1767211274738
3,8,33.0
3,9,23.3573066844995
3,10,13.0
3,11,24.3730251645317
3,12,14.0902808828236
3,13,13.3835329278295
3,14,13.0
3,15,14.0929648793115
