base_id,supplier_id,alpha_i_j,beta_i,eligible
0,0,0.316368085346543,0.2,1
0,1,0.790671723955286,0.2,1
0,2,0.974272968350613,0.2,1
0,3,0.515591035999034,0.2,1
0,4,0.730433377635279,0.2,1
0,5,0.879000917600399,0.2,1
0,6,0.312154107409392,0.2,1
0,7,0.400527785024713,0.2,1
0,8,0.830571361694338,0.2,1
0,9,0.295397600233445,0.2,1
0,10,0.412036254934496,0.2,1
0,11,0.777884259420123,0.2,1
0,12,0.0989199473301131,0.2,0
0,13,0.638353344604754,0.2,1
0,14,0.247647439549361,0.2,1
0,15,0.226984876247325,0.2,1
1,0,0.697088634913544,0.2,1
1,1,0.876,0.2,1
1,2,0.629512108774505,0.2,1
1,3,0.721876352909071,0.2,1
1,4,0.700708986792179,0.2,1
1,5,0.644462909127576,0.2,1
1,6,0.116499276170406,0.2,0
1,7,0.109632220470041,0.2,0
1,8,0.756708947286032,0.2,1
1,9,0.971832720710361,0.2,1
1,10,0.30273275402456,0.2,1
1,11,0.242532924161531,0.2,1
1,12,0.54188356587167,0.2,1
1,13,0.85960256702715,0.2,1
1,14,0.867069616364602,0.2,1
1,15,0.887571538363702,0.2,1
